id,member,Ticker,Type,Bought,BuyPrice,Amount,Filed,FilePrice,Spot7,Spot30,Spot90,Spot180
20022978,Kathy E. Manning,GOOGL,S,04/28/2023,107.33999633789062,"$1,001 - $15,000",05/02/2023,105.31999969482422,105.56999969482422,124.61000061035156,132.72000122070312,125.61000061035156
20022978,Kathy E. Manning,GOOGL,S,04/28/2023,107.33999633789062,"$1,001 - $15,000",05/02/2023,105.31999969482422,105.56999969482422,124.61000061035156,132.72000122070312,125.61000061035156
20022978,Kathy E. Manning,GOOGL,S,04/28/2023,107.33999633789062,"$1,001 - $15,000",05/02/2023,105.31999969482422,105.56999969482422,124.61000061035156,132.72000122070312,125.61000061035156
20022978,Kathy E. Manning,AMGN,P,04/28/2023,239.74000549316406,"$1,001 - $15,000",05/02/2023,235.97000122070312,236.52999877929688,216.92999267578125,234.14999389648438,272.1600036621094
20022978,Kathy E. Manning,AON,P,04/28/2023,325.17999267578125,"$1,001 - $15,000",05/02/2023,320.9100036621094,328.3999938964844,310.6700134277344,318.5,319.6499938964844
20022978,Kathy E. Manning,AAPL,P,04/28/2023,169.67999267578125,"$1,001 - $15,000",05/02/2023,168.5399932861328,173.57000732421875,175.42999267578125,196.4499969482422,171.10000610351562
20022978,Kathy E. Manning,AAPL,P,04/28/2023,169.67999267578125,"$1,001 - $15,000",05/02/2023,168.5399932861328,173.57000732421875,175.42999267578125,196.4499969482422,171.10000610351562
20022978,Kathy E. Manning,AAPL,P,04/28/2023,169.67999267578125,"$1,001 - $15,000",05/02/2023,168.5399932861328,173.57000732421875,175.42999267578125,196.4499969482422,171.10000610351562
20022978,Kathy E. Manning,CAT,S,04/28/2023,218.8000030517578,"$1,001 - $15,000",05/02/2023,215.14999389648438,215.08999633789062,211.8000030517578,265.1700134277344,244.94000244140625
20022978,Kathy E. Manning,CNC,P,04/28/2023,68.93000030517578,"$1,001 - $15,000",05/02/2023,68.4800033569336,68.38999938964844,62.720001220703125,68.08999633789062,68.70999908447266
20022978,Kathy E. Manning,CNC,P,04/28/2023,68.93000030517578,"$1,001 - $15,000",05/02/2023,68.4800033569336,68.38999938964844,62.720001220703125,68.08999633789062,68.70999908447266
